id	parentId	type	text	options	target	signal
START	null	start	Good evening. Take a breath. This is five minutes that belong entirely to you — not your inbox, not your tasks. Just an honest look at today.		A0_OPEN	
A0_OPEN	START	question	Before we get into specifics — when you think about today as a whole, which of these comes closest to how it felt?	I moved through it — I had a hand in how things went|It moved through me — things happened and I responded|A bit of both, but I mostly held the wheel|A bit of both, but the wheel mostly held me		
A0_DECISION	A0_OPEN	decision		answer=I moved through it — I had a hand in how things went|A bit of both, but I mostly held the wheel:A1_Q_INT;answer=It moved through me — things happened and I responded|A bit of both, but the wheel mostly held me:A1_Q_EXT		
A1_Q_INT	A0_DECISION	question	Think of one moment today where something went the way you wanted it to. What was your actual role in that?	I had prepared for it — it was no accident|I noticed something shifting and adjusted in the moment|I kept the energy up when others were losing it|Honestly, I'm not sure — it might have just worked out		axis1:internal
A1_Q_EXT	A0_DECISION	question	Think of one moment today where something didn't go as you'd hoped. When you replay it — what's the first thing your mind goes to?	Something I could have done differently|What someone else did or didn't do|Circumstances that were just against me today|I'm not sure — it's all a bit tangled		axis1:external
A1_DEC_INT	A1_Q_INT	decision		answer=I had prepared for it — it was no accident|I noticed something shifting and adjusted in the moment|I kept the energy up when others were losing it:A1_R_STRONG_INT;answer=Honestly, I'm not sure — it might have just worked out:A1_R_LUCK		
A1_DEC_EXT	A1_Q_EXT	decision		answer=Something I could have done differently:A1_R_RECOVERING;answer=What someone else did or didn't do|Circumstances that were just against me today|I'm not sure — it's all a bit tangled:A1_R_EXT		
A1_R_STRONG_INT	A1_DEC_INT	reflection	"You said ""{A0_OPEN.answer}"" — and what you just described backs that up. There's a version of today's good moment that just happened to you. But that's not what you described. You were in it. That's not nothing."		BRIDGE_1_2	axis1:internal
A1_R_LUCK	A1_DEC_INT	reflection	"You said ""{A0_OPEN.answer}"" — and yet when the good moment came, your first instinct was to attribute it to luck. That's worth a second look. Luck doesn't explain patterns. What do you keep doing that makes things more likely to go well?"		BRIDGE_1_2	axis1:internal
A1_R_RECOVERING	A1_DEC_EXT	reflection	When something went wrong today, your mind went to what *you* could have done differently. That takes honesty. Most people's first move is to find the cause outside themselves. You didn't.		BRIDGE_1_2	axis1:internal
A1_R_EXT	A1_DEC_EXT	reflection	"You said ""{A0_OPEN.answer}"" — and when things went wrong, your attention went outward. That's an honest answer, not a wrong one. But there's usually a small decision buried in there, even in the hard moments. Even choosing to wait is a choice. We'll keep going."		BRIDGE_1_2	axis1:external
BRIDGE_1_2	null	bridge	Let's shift from how you moved through the day — to what you gave while you were in it.		A2_OPEN	
A2_OPEN	BRIDGE_1_2	question	At some point today, you interacted with at least one other person — a colleague, a manager, a report, a client. Without naming them: what was the shape of that interaction from your end?	I gave something — attention, effort, help, knowledge|I needed something — support, clarity, recognition, time|I showed up to the interaction, but I was somewhere else mentally|I gave, but part of me was keeping score		
A2_DECISION	A2_OPEN	decision		answer=I gave something — attention, effort, help, knowledge|I gave, but part of me was keeping score:A2_Q_GAVE;answer=I needed something — support, clarity, recognition, time|I showed up to the interaction, but I was somewhere else mentally:A2_Q_NEEDED		
A2_Q_GAVE	A2_DECISION	question	When you gave today — what was underneath it? Be honest; no one's grading this.	The person needed it and that was enough for me|It was the right thing to do, even though it cost me something|I wanted to be seen as someone who helps|It was automatic — I didn't really think about it		axis2:contribution
A2_Q_NEEDED	A2_DECISION	question	When you think about what you needed today — recognition, support, clarity — did you get it?	No, and I'm still carrying that|Partially — enough to keep going, not enough to feel seen|Yes, but it took more effort than it should have|I didn't get it, and I pulled back my effort because of it		axis2:entitlement
A2_DEC_GAVE	A2_Q_GAVE	decision		answer=The person needed it and that was enough for me|It was the right thing to do, even though it cost me something:A2_R_PURE;answer=I wanted to be seen as someone who helps|It was automatic — I didn't really think about it:A2_R_MIXED		
A2_DEC_NEEDED	A2_Q_NEEDED	decision		answer=No, and I'm still carrying that|Partially — enough to keep going, not enough to feel seen|Yes, but it took more effort than it should have:A2_R_ENTITLED_HONEST;answer=I didn't get it, and I pulled back my effort because of it:A2_R_ENTITLED_WITHDREW		
